scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
medium,3160,3160,9985600,1,16,8,16,128,78012.5,,243.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
large,4500,4500,20250000,1,1,1,1,1,2.025e+07,,7537,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,1,1,1,1,2.025e+07,,7555,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,1,2,2,1.0125e+07,,4516,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,2,1,2,2,1.0125e+07,,4525,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,1,2,1,2,1.0125e+07,,7018,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,1,2,1,2,1.0125e+07,,7044,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,4,1,4,4,5.0625e+06,,4191,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,4,1,4,4,5.0625e+06,,4192,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,2,2,4,5.0625e+06,,4569,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,2,2,4,5.0625e+06,,4570,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,1,4,1,4,5.0625e+06,,7074,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,1,4,1,4,5.0625e+06,,7102,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,8,1,8,8,2.53125e+06,,4288,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,8,1,8,8,2.53125e+06,,4290,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,4,2,4,8,2.53125e+06,,3550,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,4,2,4,8,2.53125e+06,,4202,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,4,2,8,2.53125e+06,,4324,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,2,4,2,8,2.53125e+06,,4625,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,1,8,1,8,2.53125e+06,,7144,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,1,8,1,8,2.53125e+06,,7154,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,1,16,16,1.26562e+06,,3767,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,16,1,16,16,1.26562e+06,,3768,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,8,2,8,16,1.26562e+06,,3623,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
large,4500,4500,20250000,1,8,2,8,16,1.26562e+06,,3625,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,4,4,4,16,1.26562e+06,,2307,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13998779.csv
large,4500,4500,20250000,1,4,4,4,16,1.26562e+06,,2319,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009678.csv
