scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_mean_s,runtime_std_s,runtime_min_s,runtime_max_s,speedup,efficiency,cu,n_runs
large,4500,4500,20250000,1,1,8,1,8,2531250.0,,7149.0,7.0710678118654755,7144.0,7154.0,1.0555322422716464,0.1319415302839558,1.9858333333333333,2
large,4500,4500,20250000,1,2,4,2,8,2531250.0,,4474.5,212.83914113715082,4324.0,4625.0,1.6864454128952955,0.21080567661191194,1.2429166666666667,2
large,4500,4500,20250000,1,4,2,4,8,2531250.0,,3876.0,461.033621333629,3550.0,4202.0,1.9468524251805985,0.24335655314757482,1.0766666666666667,2
large,4500,4500,20250000,1,8,1,8,8,2531250.0,,4289.0,1.4142135623730951,4288.0,4290.0,1.759384471904873,0.21992305898810913,1.1913888888888888,2
large,4500,4500,20250000,1,2,8,2,16,1265620.0,,4390.0,8.48528137423857,4384.0,4396.0,1.7189066059225513,0.10743166287015946,1.2194444444444446,2
large,4500,4500,20250000,1,4,4,4,16,1265620.0,,2313.0,8.48528137423857,2307.0,2319.0,3.2624297449200172,0.20390185905750108,0.6425,2
large,4500,4500,20250000,1,8,2,8,16,1265620.0,,3624.0,1.4142135623730951,3623.0,3625.0,2.0822295805739515,0.13013934878587197,1.0066666666666666,2
large,4500,4500,20250000,1,16,1,16,16,1265620.0,,3767.5,0.7071067811865476,3767.0,3768.0,2.002919708029197,0.1251824817518248,1.0465277777777777,2
large,4500,4500,20250000,1,4,8,4,32,632812.0,,2214.5,7.7781745930520225,2209.0,2220.0,3.407541205689772,0.10648566267780538,0.6151388888888889,2
large,4500,4500,20250000,1,8,4,8,32,632812.0,,1793.5,0.7071067811865476,1793.0,1794.0,4.207415667688877,0.1314817396152774,0.49819444444444444,2
large,4500,4500,20250000,1,16,2,16,32,632812.0,,1826.5,0.7071067811865476,1826.0,1827.0,4.1313988502600605,0.1291062140706269,0.5073611111111112,2
large,4500,4500,20250000,1,32,1,32,32,632812.0,,1868.5,0.7071067811865476,1868.0,1869.0,4.0385335830880384,0.1262041744715012,0.5190277777777778,2
large,4500,4500,20250000,1,8,8,8,64,316406.0,,1116.0,1.4142135623730951,1115.0,1117.0,6.761648745519714,0.10565076164874553,0.31,2
